ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
1369,P15169,CPN1,NA,CPN1,ENSG00000120054,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,1369,P15169,CPN1,NA,CPN1,ENSG00000120054,Steroid biosynthesis,WikiPathways_20210910,WP496
1586,P05093,CYP17A1,0.32288057309830637,CYP17A1,ENSG00000148795,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,1586,P05093,CYP17A1,0.6173149332982937,CYP17A1,ENSG00000148795,Steroid biosynthesis,WikiPathways_20210910,WP496
2165,P05160,F13B,NA,F13B,ENSG00000143278,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,2165,P05160,F13B,NA,F13B,ENSG00000143278,Steroid biosynthesis,WikiPathways_20210910,WP496
3283,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3283,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496
3284,P26439,HSD3B2,0.39308360208945653,HSD3B2,ENSG00000203859,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3284,P26439,HSD3B2,0.7722043139713188,HSD3B2,ENSG00000203859,Steroid biosynthesis,WikiPathways_20210910,WP496
3292,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3292,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496
3293,P37058,HSD17B3,0.5554088655588745,HSD17B3,ENSG00000130948,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3293,P37058,HSD17B3,0.5797835966168101,HSD17B3,ENSG00000130948,Steroid biosynthesis,WikiPathways_20210910,WP496
3294,P37059,HSD17B2,NA,HSD17B2,ENSG00000086696,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3294,P37059,HSD17B2,NA,HSD17B2,ENSG00000086696,Steroid biosynthesis,WikiPathways_20210910,WP496
3295,P51659,HSD17B4,0.17219412846693066,HSD17B4,ENSG00000133835,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3295,P51659,HSD17B4,0.17190189073172402,HSD17B4,ENSG00000133835,Steroid biosynthesis,WikiPathways_20210910,WP496
51478,P56937,HSD17B7,0.2489046505616794,HSD17B7,ENSG00000132196,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,51478,P56937,HSD17B7,0.30937462491667045,HSD17B7,ENSG00000132196,Steroid biosynthesis,WikiPathways_20210910,WP496
