ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
102465534,NA,NA,NA,NA,NA,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,102465534,NA,NA,NA,NA,NA,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
1071,P11597,CETP,NA,CETP,ENSG00000087237,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,1071,P11597,CETP,NA,CETP,ENSG00000087237,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
335,P02647,APOA1,0.25507944242757574,APOA1,ENSG00000118137,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,335,P02647,APOA1,0.6138418218760692,APOA1,ENSG00000118137,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
336,P02652,APOA2,0.24164607800138882,APOA2,ENSG00000158874,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,336,P02652,APOA2,0.6021468415396113,APOA2,ENSG00000158874,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
337,NA,NA,NA,NA,NA,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,337,NA,NA,NA,NA,NA,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
348,P02649,APOE,0.22911845532895195,APOE,ENSG00000130203,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,348,P02649,APOE,0.3273180576879235,APOE,ENSG00000130203,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
3931,P04180,LCAT,0.3378983256450362,LCAT,ENSG00000213398,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,3931,P04180,LCAT,0.3618033589256874,LCAT,ENSG00000213398,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
3949,P01130,LDLR,0.25806231201091956,LDLR,ENSG00000130164,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,3949,P01130,LDLR,0.34411706783031026,LDLR,ENSG00000130164,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
3990,P11150,LIPC,NA,LIPC,ENSG00000166035,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,3990,P11150,LIPC,NA,LIPC,ENSG00000166035,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
4023,P06858,LPL,0.18292796923699245,LPL,ENSG00000175445,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,4023,P06858,LPL,0.14245204006634052,LPL,ENSG00000175445,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
4035,Q07954,LRP1,0.3206031977596202,LRP1,ENSG00000123384,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,4035,Q07954,LRP1,0.33308437114365025,LRP1,ENSG00000123384,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
5360,P55058,PLTP,0.20286958771521071,PLTP,ENSG00000100979,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,5360,P55058,PLTP,0.2337573629655105,PLTP,ENSG00000100979,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
7436,P98155,VLDLR,NA,VLDLR,ENSG00000147852,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,7436,P98155,VLDLR,NA,VLDLR,ENSG00000147852,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
949,Q8WTV0,SCARB1,0.1915627875917261,SCARB1,ENSG00000073060,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110,Homo sapiens,949,Q8WTV0,SCARB1,0.38934331125207794,SCARB1,ENSG00000073060,Familial hyperlipidemia type 3,WikiPathways_20210910,WP5110
